year,state,county_fips,average_percentage_democrat,average_percentage_republican
2016,Alaska,2036,50.562033947878234,45.41564938087578
2016,Alaska,2037,50.367456988469684,46.018016815199694
2016,Alaska,2038,56.53436542047311,37.90396754546107
2016,Alaska,2039,53.77545355314665,41.96340522433002
2016,Alaska,2040,53.44792207792207,42.76318772136953
2016,Alaska,2099,40.02313423751354,58.139212569949585
2016,Arizona,4001,64.88517467073379,33.58088909013771
2016,Arizona,4003,38.324191527773344,59.82470757774422
2016,Arizona,4005,57.198411112539304,40.92250272455561
2016,Arizona,4007,35.527728408499016,62.806441140912554
2016,Arizona,4009,29.742121819350636,68.9412309289425
2016,Arizona,4011,42.020776931368346,56.150812476870726
2016,Arizona,4012,33.814308115388705,64.08329580012894
2016,Arizona,4013,43.93457035437511,54.58086146837594
2016,Arizona,4015,30.289178156963665,67.90323888033535
